Std_id,Crs_id,Crs_Material_helpful,Crs_Content,Crs_well-organised,Inst_ClassTime,Inst_Responce_Qus,Inst_GiveClearEx
1.0,10.0,3,4,3,3,5,5
1.0,9.0,2,3,5,7,4,5
1.0,5.0,4,4,5,3,5,5
2.0,11.0,2,3,4,5,5,4
2.0,14.0,3,3,5,3,4,5
2.0,1.0,4,3,5,4,4,3
3.0,7.0,3,4,4,5,5,4
3.0,15.0,4,3,4,3,4,4
3.0,6.0,1,3,2,4,3,3
3.0,3.0,5,3,5,5,4,4
4.0,4.0,1,3,1,2,2,2
4.0,13.0,2,1,2,2,2,1
4.0,2.0,2,2,2,3,5,5
5.0,8.0,1,5,1,4,5,5
5.0,12.0,2,3,2,3,2,2
5.0,14.0,2,4,2,4,5,5
5.0,3.0,2,5,5,7,1,2
6.0,6.0,2,5,1,5,5,1
6.0,8.0,3,5,3,7,5,5
7.0,12.0,3,3,3,1,4,3
7.0,2.0,3,4,3,4,4,4
8.0,9.0,1,4,4,1,4,4
8.0,7.0,3,4,4,5,3,4
8.0,11.0,5,1,4,4,4,4
9.0,13.0,3,5,4,5,5,4
9.0,10.0,5,5,4,5,5,5
9.0,4.0,3,4,4,5,5,4
9.0,1.0,0,4,5,3,5,5
10.0,15.0,4,4,4,5,4,3
10.0,5.0,5,3,4,4,4,3
11.0,3.0,2,5,2,4,2,2
11.0,15.0,4,3,4,5,3,3
11.0,4.0,2,5,2,3,2,2
11.0,10.0,0,5,5,5,4,4
12.0,2.0,2,5,4,3,5,5
12.0,5.0,5,3,4,5,5,4
12.0,9.0,4,5,5,4,4,4
13.0,1.0,4,4,4,5,5,3
13.0,8.0,3,5,5,4,4,5
13.0,12.0,2,3,4,5,4,5
14.0,14.0,2,3,4,4,4,5
14.0,6.0,4,5,5,4,4,3
14.0,13.0,2,4,4,4,4,4
15.0,15.0,4,5,5,5,5,4
15.0,11.0,0,4,5,4,4,5
16.0,7.0,3,3,3,3,4,4
16.0,10.0,0,5,4,4,2,4
16.0,6.0,3,2,3,1,4,5
16.0,1.0,4,5,4,5,3,5
17.0,8.0,4,5,4,3,5,5
17.0,3.0,4,3,5,5,5,4
17.0,4.0,4,3,4,4,5,5
18.0,9.0,3,3,3,4,1,3
18.0,2.0,3,5,5,4,4,5
18.0,11.0,1,4,3,3,3,2
18.0,13.0,2,5,5,4,4,3
19.0,5.0,1,3,4,5,4,4
19.0,12.0,0,4,4,5,5,3
19.0,14.0,1,5,4,4,5,4
19.0,15.0,1,3,5,4,5,5
20.0,6.0,3,5,5,4,4,3
20.0,1.0,5,2,2,4,2,2
20.0,14.0,4,1,4,2,4,4
