Quest_id,Quest_txt,Quest_type,Quest_mark,Model_ans_id,Model_ans_txt
1,What is an object in OOP?,mcq,5,1,A specific instance of a class
2,What is encapsulation in OOP?,mcq,5,5,Binding data and methods that operate on the data
3,What is inheritance in OOP?,mcq,5,10,The ability of a class to inherit properties and behavior from another class
4,What is polymorphism in OOP?,mcq,5,13,The ability of a class to have multiple forms or behaviors
5,What is a constructor in OOP?,mcq,5,17,A method that creates an instance of a class
6,What is a class in OOP?,mcq,5,21,A blueprint for creating objects
7,What is a method in OOP?,mcq,5,25,A function that belongs to a class
8,What is composition in OOP?,mcq,5,29,A design technique to model has-a relationships
9,What is a static method in a class?,mcq,5,33,A method that can be called without an instance of the class
10,What is method overloading in OOP?,mcq,5,37,Defining multiple methods with the same name but different parameters
11,What is method overriding in OOP?,mcq,5,41,Providing a new implementation for a method inherited from a parent class
12,What is a destructor in OOP?,mcq,5,45,A method that destroys an instance of a class
13,What is a friend function in C++?,mcq,5,49,A function that can access private members of a class
14,What is a virtual function in C++?,mcq,5,53,A function that is defined in a base class and can be overridden by a subclass
15,What is a pure virtual function in C++?,mcq,5,57,A virtual function that is not implemented in the base class
16,Inheritance allows a class to inherit properties and behavior from another class.,t/f,5,62,False
17,Encapsulation is the ability to bind data and methods that operate on the data.,t/f,5,64,False
18,Polymorphism is the ability of a class to have multiple forms or behaviors.,t/f,5,66,False
19,A constructor is a method that destroys an instance of a class.,t/f,5,68,False
20,A static method in a class can only be called by an instance of the class.,t/f,5,70,False
21,What is the main purpose of Java?,mcq,5,73,General-purpose Programming
22,Which keyword is used to define a constant in Java?,mcq,5,76,final
23,What is the default value of an instance variable in Java?,mcq,5,82,Depends on the data type
24,Which of the following is not a valid data type in Java?,mcq,5,85,decimal
25,What is the output of the expression '5 + 3 * 2' in Java?,mcq,5,88,11
26,Which Java keyword is used to define a subclass?,mcq,5,91,extends
27,What is the purpose of the 'static' keyword in Java?,mcq,5,97,To indicate that a method or variable belongs to the class itself
28,What is the output of 'System.out.println(5 == 5.0)' in Java?,mcq,5,99,True
29,Which Java collection allows duplicate elements?,mcq,5,104,ArrayList
30,What does the 'break' statement do in Java?,mcq,5,107,Exits the loop or switch statement
31,Which Java keyword is used to handle exceptions?,mcq,5,111,try
32,What is the Java Virtual Machine (JVM)?,mcq,5,117,A virtual processor that executes Java bytecode
33,Which of the following is not a valid access modifier in Java?,mcq,5,121,package
34,What is the purpose of the 'super' keyword in Java?,mcq,5,123,To call a superclass method or constructor
35,Which Java keyword is used to explicitly throw an exception?,mcq,5,128,throw
36,Java is a purely procedural programming language.,t/f,5,132,False
37,Java supports multiple inheritance.,t/f,5,134,False
38,Java Virtual Machine (JVM) is platform-independent.,t/f,5,136,False
39,Java allows the use of pointers.,t/f,5,138,False
40,Java is a strongly-typed language.,t/f,5,140,False
41,"What is the output of the following C++ code?

```cpp
#include <iostream>
using namespace std;

int main() {
    int x = 5;
    cout << x++ << "" "" << ++x;
    return 0;
}
```
",mcq,5,142,6 7
42,Which of the following is not a storage class specifier in C++?,mcq,5,147,constant
43,What is the result of the expression 'sizeof(3.14)' in C++?,mcq,5,149,4
44,"In C++, what is the result of dividing an integer by zero?",mcq,5,153,Error
45,What does the 'new' operator in C++ do?,mcq,5,157,Allocate memory
46,"In C++, what is the size of 'char' data type?",mcq,5,161,1 byte
47,"What is the output of the following code?

```cpp
#include <iostream>
using namespace std;

int main() {
    int arr[5] = {1, 2, 3, 4, 5};
    cout << arr[5];
    return 0;
}
```
",mcq,5,168,Runtime error
48,What is the correct way to declare a pointer in C++?,mcq,5,169,int* ptr;
49,Which of the following is an example of a unary operator in C++?,mcq,5,174,-
50,"What is the output of the following code?

```cpp
#include <iostream>
using namespace std;

int main() {
    cout << 5/2 << endl;
    cout << 5/2.0 << endl;
    return 0;
}
```
",mcq,5,177,2 2.5
51,Which header file should be included to use 'cin' and 'cout' in C++?,mcq,5,182,<iostream>
52,What is the result of the expression '5 + 3 * 2' in C++?,mcq,5,186,11
53,What is the purpose of 'cin.ignore()' in C++?,mcq,5,189,To clear the input buffer
54,"In C++, which type of loop is ideal when the number of iterations is known?",mcq,5,193,for loop
55,"What is the output of the following code?

```cpp
#include <iostream>
using namespace std;

int main() {
    char ch = 'A';
    cout << ch + 1;
    return 0;
}
```
",mcq,5,197,65
56,C++ supports multiple inheritance.,t/f,5,202,False
57,A C++ function can return more than one value.,t/f,5,204,False
58,Pointers in C++ are used to store the memory address of variables.,t/f,5,206,False
59,C++ allows automatic type conversion.,t/f,5,208,False
60,C++ is a purely procedural programming language.,t/f,5,210,False
61,What does SQL stand for?,mcq,5,213,Search Query Language
62,Which SQL statement is used to insert new data into a database?,mcq,5,218,DELETE
63,What is the primary key in a database table?,mcq,5,220,A column that stores the data types of the other columns
64,Which SQL keyword is used to retrieve data from a database?,mcq,5,224,UPDATE
65,What does the SQL JOIN keyword do?,mcq,5,227,Combines rows from two or more tables based on a related column between them
66,Which SQL statement is used to delete data from a database?,mcq,5,231,DELETE
67,What is the purpose of the SQL ORDER BY keyword?,mcq,5,235,To sort the result set in ascending or descending order
68,Which SQL statement is used to update data in a database?,mcq,5,239,UPDATE
69,What is the purpose of the SQL GROUP BY keyword?,mcq,5,243,To group rows based on a specified column
70,Which SQL function is used to return the average value of a numeric column?,mcq,5,247,AVG()
71,What is the purpose of the SQL HAVING clause?,mcq,5,251,To filter the result set based on a condition after the GROUP BY clause
72,Which SQL operator is used to combine multiple conditions in a WHERE clause?,mcq,5,255,AND
73,What does the SQL SELECT DISTINCT keyword do?,mcq,5,259,Returns only unique values from a specified column
74,Which SQL function is used to return the number of rows in a table?,mcq,5,263,COUNT()
75,What is the purpose of the SQL WHERE clause?,mcq,5,267,To filter the result set based on a specified condition
76,SQL is a programming language.,t/f,5,272,False
77,SQL can only be used with relational databases.,t/f,5,274,False
78,SQL can be used to delete data from a database.,t/f,5,276,False
79,All SQL statements start with the keyword SELECT.,t/f,5,278,False
80,The SQL WHERE clause is used to filter the result set based on specified conditions.,t/f,5,280,False
81,What is Oracle?,mcq,5,282,A programming language
82,What is the primary language used for programming in Oracle?,mcq,5,287,SQL
83,Which of the following is a feature of Oracle database?,mcq,5,292,All of the above
84,What does SQL stand for?,mcq,5,293,Structured Query Language
85,Which of the following is NOT a type of Oracle database object?,mcq,5,300,Procedure
86,What is the purpose of an Oracle index?,mcq,5,302,To improve query performance
87,Which statement is used to insert data into an Oracle table?,mcq,5,307,INSERT
88,What is the default isolation level in Oracle?,mcq,5,309,READ COMMITTED
